,Element,E_ref_0,E_ref_6,E_ref_9,E_ref_10,E_coh_MP,orbital_radius,Mendeleev_P84,Mendeleev_P88,Mendeleev_V04,Vol_perAtom_MatProj,E_coh_Kittel,atom_number,atom_weight,metling_Temperature,atom_column,atom_row,Electronegativity_Pauling,N_elctrons_sVal,N_elctrons_pVal,N_elctrons_dVal,N_elctrons_Val,Vol_perAtom_MatMiner
0,H,,,,,,0.0,,103,92,46.47654994218954,,1.0,1.00794,14.01,1.0,1.0,2.2,1.0,0.0,0.0,1.0,6.615
1,He,,,,,0.0194037,0.291,,1,98,17.293960273317424,,2.0,4.002602,,18.0,1.0,,2.0,0.0,0.0,2.0,12.305
2,Li,,,,,1.611717903333333,1.586,0.45,12,1,20.401886699220142,1.63,3.0,6.941,453.69,1.0,2.0,0.98,1.0,0.0,0.0,1.0,16.5933333333
3,Be,,,,,3.721767305,1.04,1.5,77,67,7.949092572200806,3.32,4.0,9.012182,1560.0,2.0,2.0,1.57,2.0,0.0,0.0,2.0,7.89
4,B,,,,,6.410800791666667,0.776,2.0,85,72,7.229096941681937,5.81,5.0,10.811,2348.0,13.0,2.0,2.04,2.0,1.0,0.0,3.0,7.1725
5,C,,,,,,0.62,2.5,95,77,10.908294214794516,7.37,6.0,12.0107,3823.0,14.0,2.0,2.55,2.0,2.0,0.0,4.0,5.64
6,N,,,,,5.224698668749999,0.521,3.0,100,82,24.5800046630506,4.92,7.0,14.0067,63.05,15.0,2.0,3.04,2.0,3.0,0.0,5.0,14.76875
7,O,,,,,3.4045442850000005,0.45,3.5,101,87,17.287811297110952,2.6,8.0,15.9994,54.8,16.0,2.0,3.44,2.0,4.0,0.0,6.0,9.105
8,F,,,,,1.4108650825,0.396,4.0,102,93,13.357999783755876,0.84,9.0,18.9984032,53.5,17.0,2.0,3.98,2.0,5.0,0.0,7.0,9.7075
9,Ne,,,,,0.01421847,0.354,,2,99,18.456187514358387,0.02,10.0,20.1791,24.56,18.0,2.0,,2.0,6.0,0.0,8.0,12.64
10,Na,,,,,1.083549335,1.713,0.4,11,2,36.93819600903703,1.113,11.0,22.98976928,370.87,1.0,3.0,0.93,1.0,0.0,0.0,1.0,29.2433333333
11,Mg,,,,,1.495331445,1.279,1.28,73,68,22.399498167675635,1.51,12.0,24.305,923.0,2.0,3.0,1.31,2.0,0.0,0.0,2.0,22.89
12,Al,,,,,3.52923706,1.312,1.66,80,73,16.471717630914863,3.39,13.0,26.9815386,933.47,13.0,3.0,1.61,2.0,1.0,0.0,3.0,16.48
13,Si,,,,,4.596841455000001,1.068,1.92,85,78,20.164763423707026,4.63,14.0,28.0855,1687.0,14.0,3.0,1.9,2.0,2.0,0.0,4.0,20.44
14,P,,,,,3.520727855833333,0.919,2.18,90,83,23.03718174818334,3.43,15.0,30.973762,317.3,15.0,3.0,2.19,2.0,3.0,0.0,5.0,22.5702380952
15,S,,,,,3.2447216790625,0.81,2.44,94,88,27.512239701674428,2.85,16.0,32.065,388.36,16.0,3.0,2.58,2.0,4.0,0.0,6.0,25.786875
16,Cl,,,,,1.5893868800000002,0.725,2.7,99,97,28.215289377740447,1.4,17.0,35.453,171.6,17.0,3.0,3.16,2.0,5.0,0.0,7.0,24.4975
17,Ar,,,,,0.0195887,0.659,,3,100,38.56579000820011,0.08,18.0,39.948,83.8,18.0,3.0,,2.0,6.0,0.0,8.0,28.54
18,K,,,,,0.86591012125,2.162,0.35,10,3,76.52889532310476,0.934,19.0,39.0983,336.53,1.0,4.0,0.82,1.0,0.0,0.0,1.0,73.1066666667
19,Ca,,,,,1.90580489,1.69,0.6,16,7,43.36096382607296,1.84,20.0,40.078,1115.0,2.0,4.0,1.0,2.0,0.0,0.0,2.0,37.77
20,Sc,-0.021769240000026,0.1059595699999818,0.547834949999924,-0.8360014099999944,4.359758715,1.57,0.74,19,11,25.01223695893517,3.9,21.0,44.955912,1814.0,3.0,4.0,1.36,2.0,0.0,1.0,3.0,22.235
21,Ti,-0.0177094000000579,0.1595710699999699,0.410368080000012,-0.0063273300000901,5.691828310000001,1.477,0.79,51,43,17.01971989257013,4.85,22.0,47.867,1941.0,4.0,4.0,1.54,2.0,0.0,2.0,4.0,16.69
22,V,-0.0034715799999958,0.1054725400000506,-0.129564289999962,0.4457160499999872,5.418450680000001,1.401,0.84,54,46,13.263780153478194,5.31,23.0,50.9415,2183.0,5.0,4.0,1.63,2.0,0.0,3.0,5.0,13.01
23,Cr,-0.0066449699999111,0.008182930000089,-0.8239007399999991,0.3738190100000338,4.054717940000001,1.453,0.89,57,49,13.084478862799184,4.1,24.0,51.9961,2180.0,6.0,4.0,1.66,1.0,0.0,5.0,6.0,11.19
24,Mn,-0.0169468200000437,-0.0616406499999584,-1.579219500000022,0.0041607299999668,3.835744110344826,1.278,0.94,60,52,13.02268306329172,2.92,25.0,54.938045,1519.0,7.0,4.0,1.55,2.0,0.0,5.0,7.0,10.4875862069
25,Fe,-0.012359730000071,-0.0645490700001119,-2.208288110000012,-0.2963522000000012,5.054898960000001,1.227,0.99,61,55,11.734084234678496,4.28,26.0,55.845,1811.0,8.0,4.0,1.83,2.0,0.0,6.0,8.0,10.73
26,Co,-0.0075562000000672,-0.0632748599999786,-2.378758830000038,-0.3569824300000164,5.1451593,1.181,1.04,64,58,10.841542632772711,4.39,27.0,58.933195,1768.0,9.0,4.0,1.88,2.0,0.0,7.0,9.0,10.245
27,Ni,-0.0150657499999624,-0.0888491499999872,-2.13254280000001,-0.2849632399999109,4.86627413,1.139,1.09,67,61,10.492020341068946,4.44,28.0,58.6934,1728.0,10.0,4.0,1.91,2.0,0.0,8.0,10.0,10.32
28,Cu,-0.0240449100000432,-0.1397364000000607,-1.6193269799999823,-0.2684255000000348,3.49842698,1.191,1.2,72,64,11.445998564977856,3.49,29.0,63.546,1357.77,11.0,4.0,1.9,1.0,0.0,10.0,11.0,11.07
29,Zn,-0.0303040899999587,-0.0914161800000101,-1.011125389999961,-0.4043461400000296,1.0952764949999998,1.065,1.44,76,69,14.422554456959176,1.35,30.0,65.38,692.68,12.0,4.0,1.65,2.0,0.0,10.0,12.0,13.96
30,Ga,,,,,2.69891439,1.254,1.68,81,74,19.175605259263254,2.81,31.0,69.723,302.91,13.0,4.0,1.81,2.0,1.0,10.0,13.0,18.8575
31,Ge,,,,,3.73907859,1.09,1.92,84,79,22.84410461645416,3.85,32.0,72.64,1211.4,14.0,4.0,2.01,2.0,2.0,10.0,14.0,23.005
32,As,,,,,2.951013055,1.001,2.16,89,84,24.63744306988577,2.96,33.0,74.9216,1090.0,15.0,4.0,2.18,2.0,3.0,10.0,15.0,22.175
33,Se,,,,,2.7266939676562503,0.918,2.4,93,89,33.36400842321496,2.46,34.0,78.96,494.0,16.0,4.0,2.55,2.0,4.0,10.0,16.0,25.92
34,Br,,,,,1.3318307,0.851,2.64,98,95,31.67578476371924,1.22,35.0,79.904,265.8,17.0,4.0,2.96,2.0,5.0,10.0,17.0,29.48
35,Kr,,,,,0.0230529533333333,0.795,,4,101,47.23822778139765,0.116,36.0,83.798,115.79,18.0,4.0,3.0,2.0,6.0,10.0,18.0,36.06
36,Rb,,,,,0.7935930325,2.287,0.3,9,4,90.26387157507692,0.852,37.0,85.4678,312.46,1.0,5.0,0.82,1.0,0.0,0.0,1.0,90.7225
37,Sr,-0.0056407700000136,-0.0102982399999973,-2.552842339999984,-3.1817433899999514,1.6158889,1.836,0.55,15,8,56.43301959740416,1.72,38.0,87.62,1050.0,2.0,5.0,0.95,2.0,0.0,0.0,2.0,54.23
38,Y,-0.0154507299999977,0.0866798700000117,-0.1780737599999611,-1.741543649999926,4.288746105,1.693,0.7,25,12,33.77781304155621,4.37,39.0,88.90585,1799.0,3.0,5.0,1.22,2.0,0.0,1.0,3.0,32.365
39,Zr,-0.0081325899999455,0.0987182899999652,0.6352554000000055,-0.9051524300000438,6.504904289999999,1.593,0.76,49,44,23.49965943732917,6.25,40.0,91.224,2128.0,4.0,5.0,1.33,2.0,0.0,2.0,4.0,23.195
40,Nb,0.0013194599999906,0.0760417799999686,0.4963721499999565,-0.2887749100000292,6.96831473,1.589,0.82,53,47,18.258066615716924,7.57,41.0,92.90638,2750.0,5.0,5.0,1.6,1.0,0.0,4.0,5.0,18.18
41,Mo,0.0005175500000405,-0.007728889999953,-0.0777288799999951,-0.0810748999999759,6.24315625,1.52,0.88,56,50,15.89162790660502,6.82,42.0,95.96,2896.0,6.0,5.0,2.16,1.0,0.0,5.0,6.0,15.69
42,Tc,-0.0125507199999219,-0.096903989999987,-0.8088035499999933,-0.410140350000006,6.9989461,1.391,0.94,59,53,14.251690501010907,6.85,43.0,98.0,2430.0,7.0,5.0,1.9,2.0,0.0,5.0,7.0,14.285
43,Ru,-0.0089327100000673,-0.1242889999999761,-1.5379164500000115,-0.8676979900000106,7.125679659999999,1.41,1.0,62,56,13.551176835248535,6.74,44.0,101.07,2607.0,8.0,5.0,2.2,1.0,0.0,7.0,8.0,13.51
